cod_coord,iso3_coord,estatus_geo,lon,lat
4,AFG,Member State,66.06638203778408,33.90975149469504
24,AGO,Member State,17.579922166857877,-12.393449675682294
8,ALB,Member State,20.065279893779117,41.15194275663001
20,AND,Member State,1.57624354144642,42.55073038772147
784,ARE,Member State,53.98279159360935,23.432308449564683
32,ARG,Member State,-63.94729389321045,-33.27503778688107
51,ARM,Member State,44.93261124944201,40.30236616291621
28,ATG,Member State,-61.799977650595686,17.077627691964935
36,AUS,Member State,134.43743849396301,-26.026147255619236
40,AUT,Member State,14.148142413126882,47.59868202948817
31,AZE,Member State,47.655395887963856,40.36639563658419
108,BDI,Member State,29.890435247131553,-3.3668832609205914
56,BEL,Member State,4.657300540143388,50.64780569847923
204,BEN,Member State,2.3403845125721916,9.660487542488195
854,BFA,Member State,-1.7430910186280193,12.282504466259535
50,BGD,Member State,89.19142111993867,22.870126762305425
100,BGR,Member State,25.242082945907505,42.77740786363562
48,BHR,Member State,50.54906550596632,26.044222094353277
44,BHS,Member State,-78.0511493601353,24.695969137135027
70,BIH,Member State,17.781319793996097,44.18098786150421
112,BLR,Member State,28.06378550726148,53.58944647128158
84,BLZ,Member State,-88.69929730128294,17.20064514091396
68,BOL,Member State,-64.65901259166488,-16.777415018366693
76,BRA,Member State,-53.02248242458411,-11.174969710140823
52,BRB,Member State,-59.534648895469566,13.136498509174851
96,BRN,Member State,114.62887331470834,4.497518005591652
64,BTN,Member State,90.44803793702219,27.391768365300948
72,BWA,Member State,23.80841174095764,-22.236004064807748
140,CAF,Member State,20.937838416171026,7.010061988334896
124,CAN,Member State,-104.21581573925957,59.833782417453996
756,CHE,Member State,8.224464999576899,46.98026627519236
152,CHL,Member State,-69.71742373321159,-26.369231562990393
156,CHN,Member State,104.16947999999914,32.82210683648991
384,CIV,Member State,-5.553330105039931,7.631577073921343
120,CMR,Member State,12.746220488332831,5.709443840896496
180,COD,Member State,23.658642724038916,-2.9044697323734106
178,COG,Member State,15.2401113759183,-0.8312700002244664
170,COL,Member State,-73.08183048113243,3.9288050402632697
174,COM,Member State,43.3423576304352,-11.661342624332809
132,CPV,Member State,-23.635463032130403,15.077989234424708
188,CRI,Member State,-84.19779458303407,9.97322910937524
192,CUB,Member State,-79.54460144040696,22.101123477306796
196,CYP,Member State,33.23569962757643,35.050098058931745
203,CZE,Member State,15.329388459645319,49.74843466070507
276,DEU,Member State,10.390865914470147,51.20158576791911
262,DJI,Member State,42.18274706825859,11.560747744306227
212,DMA,Member State,-61.35623843881893,15.427142557265626
208,DNK,Member State,9.361660199607822,56.281155402046544
214,DOM,Member State,-70.49667512379773,18.90046017253791
12,DZA,Member State,2.674429905117656,28.42043192554799
218,ECU,Member State,-78.36842869682926,-1.4554854968179032
818,EGY,Member State,29.76763867662454,26.664084342480052
232,ERI,Member State,38.11113098314993,16.136250953388345
732,ESH,Non-Self-Governing Territory,-13.112727541224102,24.707319827072265
724,ESP,Member State,-3.5476487997361725,40.47561420621879
233,EST,Member State,25.841348031694565,58.69528324699746
231,ETH,Member State,39.630711938780934,8.660529937053965
246,FIN,Member State,23.313224999559704,61.982006842112874
242,FJI,Member State,177.96606402728065,-17.83341984900076
