cod_pobla,iso3_pobla,año_pobla,poblacion
4,AFG,1990.0,12045000.0
4,AFG,1995.0,17065000.0
4,AFG,2000.0,20130000.0
4,AFG,2005.0,24404000.0
4,AFG,2010.0,28284000.0
4,AFG,2015.0,33831000.0
4,AFG,2020.0,39068000.0
4,AFG,2024.0,42647000.0
24,AGO,1990.0,11626000.0
24,AGO,1995.0,13699000.0
24,AGO,2000.0,16194000.0
24,AGO,2005.0,19291000.0
24,AGO,2010.0,23294000.0
24,AGO,2015.0,28157000.0
24,AGO,2020.0,33451000.0
24,AGO,2024.0,37885000.0
8,ALB,1990.0,3277000.0
8,ALB,1995.0,3258000.0
8,ALB,2000.0,3166000.0
8,ALB,2005.0,3076000.0
8,ALB,2010.0,2928000.0
8,ALB,2015.0,2898000.0
8,ALB,2020.0,2871000.0
8,ALB,2024.0,2791000.0
20,AND,1990.0,52000.0
20,AND,1995.0,63000.0
20,AND,2000.0,65000.0
20,AND,2005.0,77000.0
20,AND,2010.0,80000.0
20,AND,2015.0,72000.0
20,AND,2020.0,77000.0
20,AND,2024.0,81000.0
784,ARE,1990.0,1898000.0
784,ARE,1995.0,2434000.0
784,ARE,2000.0,3493000.0
784,ARE,2005.0,4664000.0
784,ARE,2010.0,6938000.0
784,ARE,2015.0,8674000.0
784,ARE,2020.0,9448000.0
784,ARE,2024.0,11027000.0
32,ARG,1990.0,32755000.0
32,ARG,1995.0,35070000.0
32,ARG,2000.0,37213000.0
32,ARG,2005.0,39216000.0
32,ARG,2010.0,41288000.0
32,ARG,2015.0,43477000.0
32,ARG,2020.0,45191000.0
32,ARG,2024.0,45696000.0
51,ARM,1990.0,3552000.0
51,ARM,1995.0,3307000.0
51,ARM,2000.0,3125000.0
51,ARM,2005.0,3006000.0
51,ARM,2010.0,2931000.0
51,ARM,2015.0,2921000.0
51,ARM,2020.0,2890000.0
51,ARM,2024.0,2973000.0
28,ATG,1990.0,63000.0
28,ATG,1995.0,68000.0
28,ATG,2000.0,74000.0
28,ATG,2005.0,79000.0
