iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
AFG,1990,,,,,0.285
AFG,1995,7.868,,,,0.329
AFG,2000,7.897,813.550255989624,,,0.351
AFG,2005,7.878,1076.08735260871,12.6862687216715,,0.417
AFG,2010,7.809,1765.53802830615,2.17853752389419,,0.465
AFG,2015,9.032,2284.07584789349,-0.661709164713742,,0.496
AFG,2020,11.71,2561.98176058622,5.60188791482224,,0.501
AFG,2024,13.687,,-6.60118564073726,,
AGO,1990,,3704.86317724923,,,
AGO,1995,16.978,2989.761380067,2666.45059288538,,
AGO,2000,16.646,3689.53780847244,324.996871601321,51.9,0.391
AGO,2005,16.295,5415.61212018099,22.953513851394,,0.463
AGO,2010,16.595,7411.65460883624,14.4696564932577,,0.528
AGO,2015,16.472,8067.48584683018,9.35597215533784,,0.603
AGO,2020,16.696,7827.42804325818,22.271539247051,,0.61
AGO,2024,14.02,10118.6089945408,28.2404948915772,,
ALB,1990,,2655.67313273989,,,0.654
ALB,1995,14.607,2776.82881449807,7.79321853789217,,0.638
ALB,2000,19.023,3977.77186916171,0.0500181363468238,,0.682
ALB,2005,15.966,6014.31696992585,2.36658195679795,30.6,0.723
ALB,2010,14.086,9754.84278665039,3.6271009151748,,0.769
ALB,2015,17.193,12386.592266883,1.89617402592366,32.8,0.797
ALB,2020,11.639,16287.6097663649,1.62088661717004,29.4,0.794
ALB,2024,10.689,26701.6749563776,2.21587375089999,,
AND,1990,,24908.8709437846,,,
AND,1995,,24934.3827742245,,,
AND,2000,,33458.1181625074,,,0.825
AND,2005,,44577.8193343081,,,0.842
AND,2010,,43853.1712385354,,,0.87
AND,2015,,50733.2390011704,,,0.869
AND,2020,,52095.8414004627,,,0.851
AND,2024,,74939.4746038578,,,
ARE,1990,,88455.0784304645,,,0.713
ARE,1995,1.8,93702.3667511098,,,0.747
ARE,2000,2.25,92899.3674985796,,,0.79
ARE,2005,3.12,101301.412339163,,,0.819
ARE,2010,2.798,85120.1974687752,0.877983288285867,,0.835
ARE,2015,1.793,73986.0636395945,4.06996608361593,,0.857
ARE,2020,4.294,66790.6822664754,-2.07940317940944,,0.909
ARE,2024,2.16,79228.738801276,1.66336510224894,,
ARG,1990,,7158.30849157078,,,0.733
ARG,1995,18.8,9890.92470924836,,48.9,0.754
ARG,2000,15.0,11499.9828002518,,51.0,0.789
ARG,2005,11.506,13464.8128470561,,47.8,0.812
ARG,2010,7.714,17847.6110373178,,43.7,0.844
ARG,2015,7.577,19899.1499275245,,,0.859
ARG,2020,11.461,22393.3479575353,42.0150947376509,42.7,0.851
ARG,2024,7.15,30431.1931223693,219.883929014578,42.4,
ARM,1990,,2760.24950024614,,,0.663
ARM,1995,6.7,1766.91014761234,175.951325534583,,0.631
ARM,2000,11.107,2530.74394657194,-0.790883768934757,,0.667
ARM,2005,10.584,5172.2189210295,0.638928002410097,36.0,0.711
ARM,2010,19.523,7095.21267979009,8.17636138473952,30.0,0.747
ARM,2015,18.261,9756.84084836026,3.73169119261693,32.4,0.777
ARM,2020,18.175,14706.3173043422,1.21143577838465,25.1,0.761
ARM,2024,12.405,22823.1795255693,0.269511978259125,,
ATG,1990,,12996.0453528789,,,
ATG,1995,,15062.3522451447,,,
ATG,2000,,19318.8965779721,0.77177979690018,,
ATG,2005,,23484.8001051691,2.09875196709308,,
ATG,2010,,24071.0297956482,3.37002540220148,,0.828
ATG,2015,,20985.4388292177,0.968993458825638,,0.839
ATG,2020,,22370.0918693813,0.625989707046719,,0.84
ATG,2024,,33386.1917127894,6.19886698842116,,
AUS,1990,,17385.4985419393,7.33302195235872,,0.867
AUS,1995,8.473,21049.6150181971,4.62776659959759,32.6,0.882
AUS,2000,6.288,26584.8191965725,4.45743514797224,,0.897
AUS,2005,5.036,33089.7023501837,2.69183168316832,,0.914
AUS,2010,5.214,39504.361082784,2.91834002677376,34.7,0.929
AUS,2015,6.055,46464.5867627929,1.50836672165921,,0.938
AUS,2020,6.394,54184.1614486854,0.846905537459305,33.8,0.95
AUS,2024,3.942,72111.1844628126,3.1616142830575,,
AUT,1990,,19395.859898704,3.26187231878578,,0.832
AUT,1995,4.345,23604.0281966141,2.24336631500905,29.9,0.856
AUT,2000,4.687,29220.9853040358,2.34486285357282,29.0,0.879
AUT,2005,5.682,34776.6699535218,2.29913785639285,28.7,0.898
AUT,2010,4.883,41735.4574798744,1.81353438995062,30.3,0.912
AUT,2015,5.802,49549.3162311441,0.89656333526032,30.5,0.919
AUT,2020,5.201,58523.0337816246,1.38191063351862,29.8,0.925
AUT,2024,5.2,73911.439663136,2.93791574279383,,
AZE,1990,,5342.57081575693,,,
AZE,1995,7.2,2356.89780147658,411.759641777268,34.6,0.618
AZE,2000,11.78,3439.14442872326,1.80500303704356,,0.652
