cod_m49,iso3,name_en,name_es,subregion,region
100,BGR,Bulgaria,Bulgaria,Europa Oriental,Europa
104,MMR,Myanmar,Myanmar,Asia Sudoriental,Asia
108,BDI,Burundi,Burundi,África Oriental,África
112,BLR,Belarus,Bielorrusia,Europa Oriental,Europa
116,KHM,Cambodia,Camboya,Asia Sudoriental,Asia
12,DZA,Algeria,Argelia,África Septentrional,África
120,CMR,Cameroon,Camerún,África Central,África
124,CAN,Canada,Canadá,América del Norte,América del Norte
132,CPV,Cabo Verde,Cabo Verde,África Occidental,África
140,CAF,Central African Republic,República Centroafricana,África Central,África
144,LKA,Sri Lanka,Sri Lanka,Asia Meridional,Asia
148,TCD,Chad,Chad,África Central,África
152,CHL,Chile,Chile,América del Sur,América Latina y el Caribe
156,CHN,China,China,Asia Oriental,Asia
158,TWN,Taiwan,Taiwán,Asia Oriental,Asia
170,COL,Colombia,Colombia,América del Sur,América Latina y el Caribe
174,COM,Comoros,Comoras,África Oriental,África
178,COG,Congo,Congo,África Central,África
180,COD,Democratic Republic of the Congo,República Democrática del Congo,África Central,África
188,CRI,Costa Rica,Costa Rica,América Central,América Latina y el Caribe
191,HRV,Croatia,Croacia,Europa Meridional,Europa
192,CUB,Cuba,Cuba,Caribe,América Latina y el Caribe
196,CYP,Cyprus,Chipre,Asia Occidental,Asia
20,AND,Andorra,Andorra,Europa Meridional,Europa
2003,ZZZ,Others,Otros,,
203,CZE,Czechia,Chequia,Europa Oriental,Europa
204,BEN,Benin,Benin,África Occidental,África
208,DNK,Denmark,Dinamarca,Europa Septentrional,Europa
212,DMA,Dominica,Dominica,Caribe,América Latina y el Caribe
214,DOM,Dominican Republic,República Dominicana,Caribe,América Latina y el Caribe
218,ECU,Ecuador,Ecuador,América del Sur,América Latina y el Caribe
222,SLV,El Salvador,El Salvador,América Central,América Latina y el Caribe
226,GNQ,Equatorial Guinea,Guinea Ecuatorial,África Central,África
231,ETH,Ethiopia,Etiopía,África Oriental,África
232,ERI,Eritrea,Eritrea,África Oriental,África
233,EST,Estonia,Estonia,Europa Septentrional,Europa
238,FLK,Malvinas Islands,Islas Malvinas,América del Sur,América Latina y el Caribe
24,AGO,Angola,Angola,África Central,África
242,FJI,Fiji,Fiji,Melanesia,Oceanía
246,FIN,Finland,Finlandia,Europa Septentrional,Europa
250,FRA,France,Francia,Europa Occidental,Europa
254,GUF,French Guiana,Guayana Francesa,América del Sur,América Latina y el Caribe
262,DJI,Djibouti,Djibouti,África Oriental,África
266,GAB,Gabon,Gabón,África Central,África
268,GEO,Georgia,Georgia,Asia Occidental,Asia
270,GMB,Gambia,Gambia,África Occidental,África
275,PSE,Palestine,Palestina,Asia Occidental,Asia
276,DEU,Germany,Alemania,Europa Occidental,Europa
28,ATG,Antigua and Barbuda,Antigua y Barbuda,Caribe,América Latina y el Caribe
288,GHA,Ghana,Ghana,África Occidental,África
296,KIR,Kiribati,Kiribati,Micronesia,Oceanía
300,GRC,Greece,Grecia,Europa Meridional,Europa
308,GRD,Grenada,Granada,Caribe,América Latina y el Caribe
31,AZE,Azerbaijan,Azerbaiyán,Asia Occidental,Asia
32,ARG,Argentina,Argentina,América del Sur,América Latina y el Caribe
320,GTM,Guatemala,Guatemala,América Central,América Latina y el Caribe
324,GIN,Guinea,Guinea,África Occidental,África
328,GUY,Guyana,Guyana,América del Sur,América Latina y el Caribe
332,HTI,Haiti,Haití,Caribe,América Latina y el Caribe
340,HND,Honduras,Honduras,América Central,América Latina y el Caribe
344,HKG,Hong Kong,Hong Kong,Asia Oriental,Asia
348,HUN,Hungary,Hungría,Europa Oriental,Europa
352,ISL,Iceland,Islandia,Europa Septentrional,Europa
356,IND,India,India,Asia Meridional,Asia
36,AUS,Australia,Australia,Australia/Nueva Zelanda,Oceanía
360,IDN,Indonesia,Indonesia,Asia Sudoriental,Asia
364,IRN,Iran,Irán,Asia Meridional,Asia
368,IRQ,Iraq,Iraq,Asia Occidental,Asia
372,IRL,Ireland,Irlanda,Europa Septentrional,Europa
376,ISR,Israel,Israel,Asia Occidental,Asia
380,ITA,Italy,Italia,Europa Meridional,Europa
384,CIV,Côte d’Ivoire,Costa de Marfil,África Occidental,África
388,JAM,Jamaica,Jamaica,Caribe,América Latina y el Caribe
392,JPN,Japan,Japón,Asia Oriental,Asia
398,KAZ,Kazakhstan,Kazajstán,Asia Central,Asia
4,AFG,Afghanistan,Afganistán,Asia Meridional,Asia
40,AUT,Austria,Austria,Europa Occidental,Europa
400,JOR,Jordan,Jordania,Asia Occidental,Asia
404,KEN,Kenya,Kenya,África Oriental,África
408,PRK,North Korea,Corea del Norte,Asia Oriental,Asia
410,KOR,South Korea,Corea del Sur,Asia Oriental,Asia
414,KWT,Kuwait,Kuwait,Asia Occidental,Asia
417,KGZ,Kyrgyzstan,Kirguistán,Asia Central,Asia
418,LAO,Lao,Lao,Asia Sudoriental,Asia
422,LBN,Lebanon,Líbano,Asia Occidental,Asia
426,LSO,Lesotho,Lesotho,África Meridional,África
428,LVA,Latvia,Letonia,Europa Septentrional,Europa
430,LBR,Liberia,Liberia,África Occidental,África
434,LBY,Libya,Libia,África Septentrional,África
438,LIE,Liechtenstein,Liechtenstein,Europa Occidental,Europa
44,BHS,Bahamas,Bahamas,Caribe,América Latina y el Caribe
440,LTU,Lithuania,Lituania,Europa Septentrional,Europa
442,LUX,Luxembourg,Luxemburgo,Europa Occidental,Europa
446,MAC,Macao,Macao,Asia Oriental,Asia
450,MDG,Madagascar,Madagascar,África Oriental,África
454,MWI,Malawi,Malawi,África Oriental,África
458,MYS,Malaysia,Malasia,Asia Sudoriental,Asia
462,MDV,Maldives,Maldivas,Asia Meridional,Asia
466,MLI,Mali,Malí,África Occidental,África
470,MLT,Malta,Malta,Europa Meridional,Europa
478,MRT,Mauritania,Mauritania,África Occidental,África
48,BHR,Bahrain,Bahrein,Asia Occidental,Asia
480,MUS,Mauritius,Mauricio,África Oriental,África
484,MEX,Mexico,México,América Central,América Latina y el Caribe
492,MCO,Monaco,Mónaco,Europa Occidental,Europa
496,MNG,Mongolia,Mongolia,Asia Oriental,Asia
498,MDA,Moldova,Moldova,Europa Oriental,Europa
499,MNE,Montenegro,Montenegro,Europa Meridional,Europa
50,BGD,Bangladesh,Bangladesh,Asia Meridional,Asia
504,MAR,Morocco,Marruecos,África Septentrional,África
