,AGO,BFA,BDI,BEN,BWA,COD,CAF,COG,CIV,CMR,CPV,DJI,DZA,EGY,ESH,ERI,ETH,GAB,GHA,GMB,GIN,GNQ,GNB,KEN,COM,LBR,LSO,LBY,MAR,MDG,MLI,MRT,MUS,MWI,MOZ,NAM,NER,NGA,RWA,SYC,SDN,SLE,SEN,SOM,SSD,STP,SWZ,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
AGO,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.019230769230769232,0.0,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.23076923076923078,0.0,0.0,0.3153846153846154,0.23076923076923078,0.0,0.0,0.0
BFA,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.5230769230769231,1.0,0.0,0.0,0.0,0.08846153846153847,0.0,0.38461538461538464,0.0,0.0,0.5923076923076923,0.23076923076923078,0.38461538461538464,0.6192307692307693,0.0,0.38461538461538464,0.0,0.0,0.6192307692307693,0.0,0.08846153846153847,0.08846153846153847,0.0,0.7307692307692307,0.38461538461538464,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.6192307692307693,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.08846153846153847,0.0,0.0,0.0,0.0,0.0
BDI,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.019230769230769232,0.0,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.23076923076923078,0.0,0.0,0.3153846153846154,0.23076923076923078,0.0,0.0,0.0
BEN,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.08846153846153847,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.23076923076923078,0.0,0.08846153846153847,0.08846153846153847,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,1.0,0.08846153846153847,0.0,0.0,0.0,0.0,0.0
BWA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.0,0.0,1.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038461538461538464,0.12307692307692308,0.0,1.0,1.0,1.0
COD,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.019230769230769232,0.0,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.23076923076923078,0.0,0.0,0.3153846153846154,0.23076923076923078,0.0,0.0,0.0
CAF,0.23076923076923078,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,1.0,0.06538461538461539,0.0,0.75,0.18076923076923077,0.7038461538461539,0.0,0.7038461538461539,0.011538461538461539,0.7038461538461539,0.7038461538461539,0.06538461538461539,0.0,0.011538461538461539,0.0,0.75,0.011538461538461539,0.4153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.7038461538461539,0.0,0.011538461538461539,0.7038461538461539,0.7038461538461539,0.18076923076923077,0.0,1.0,0.0,0.0,0.33076923076923076,0.7038461538461539,0.0,0.0,0.0
COG,0.019230769230769232,0.5230769230769231,0.019230769230769232,0.23076923076923078,0.0,0.019230769230769232,0.06538461538461539,1.0,0.5230769230769231,0.08461538461538462,0.026923076923076925,0.0,0.09230769230769231,0.0,0.6461538461538462,0.0,0.0,0.9307692307692308,0.23076923076923078,0.6461538461538462,0.7961538461538461,0.08461538461538462,0.6461538461538462,0.0,0.0,0.55,0.0,0.09230769230769231,0.09230769230769231,0.0,0.7923076923076923,0.6461538461538462,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.019230769230769232,0.0,0.0,0.55,0.6461538461538462,0.0,0.0,0.026923076923076925,0.0,0.06538461538461539,0.23076923076923078,0.09230769230769231,0.0,0.0,0.0,0.0,0.0
CIV,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.5230769230769231,1.0,0.0,0.0,0.0,0.08846153846153847,0.0,0.38461538461538464,0.0,0.0,0.5923076923076923,0.23076923076923078,0.38461538461538464,0.6192307692307693,0.0,0.38461538461538464,0.0,0.0,0.6192307692307693,0.0,0.08846153846153847,0.08846153846153847,0.0,0.7307692307692307,0.38461538461538464,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.6192307692307693,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.08846153846153847,0.0,0.0,0.0,0.0,0.0
CMR,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.75,0.08461538461538462,0.0,1.0,0.2,0.45384615384615384,0.0,0.45384615384615384,0.011538461538461539,0.45384615384615384,0.45384615384615384,0.08461538461538462,0.23076923076923078,0.011538461538461539,0.0,1.0,0.011538461538461539,0.38076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.45384615384615384,0.0,0.011538461538461539,0.45384615384615384,0.45384615384615384,0.2,0.0,0.75,0.23076923076923078,0.0,0.3,0.45384615384615384,0.0,0.0,0.0
